Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,MBH-7593,Supply and delivery of life guars equipment,05/02/2020,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-life-guars-equipment/,7593,Mbhashe
Municipal,MBH-7591,Supply and installation of netball and football poles,05/02/2020,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-installation-of-netball-and-football-poles/,7591,Mbhashe
Municipal,MBH-7589,Supply and delivery of protective clothing,05/02/2020,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-protective-clothing-6/,7589,Mbhashe
Municipal,MBH-10501,SUPPLY AN DELIVERY OF TOOLS OF TRADE FOR SMM'ES,04/12/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-an-delivery-of-tools-of-trade-for-smmes-2/,10501,Mbhashe
Municipal,MBH-7519,SUPPLY AN DELIVERY OF TOOLS OF TRADE FOR SMM’ES,04/12/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-an-delivery-of-tools-of-trade-for-smmes/,7519,Mbhashe
Municipal,MBH-5074,Contracting of OHS Service Provider,04/10/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/contracting-of-ohs-service-provider/,5074,Mbhashe
Municipal,MBH-5072,Construction of Tayi to Qwili Access Road,04/10/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-tayi-to-qwili-access-road-2/,5072,Mbhashe
Municipal,MBH-5070,Construction of Madwaleni Community Hall,04/10/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-madwaleni-community-hall/,5070,Mbhashe
Municipal,MBH-5328,Construction of Madwaleni Community Hall,04/10/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-madwaleni-community-hall-2/,5328,Mbhashe
Municipal,MBH-17616,Introduction Of Contractor: Refurbishment Of Willowvale Town Hall,04/09/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/introduction-of-contractor-refurbishment-of-willowvale-town-hall/,17616,Mbhashe
Municipal,MBH-17611,Introduction Of Contractor: Electrification Of Msikithi Village,04/09/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/introduction-of-contractor-electrification-of-msikithi-village/,17611,Mbhashe
Municipal,MBH-17605,Handover Of Chairs For Mkhathazo Community Hall,04/09/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/17605-2/,17605,Mbhashe
Municipal,MBH-7333,PROPOSALS FOR IN HOUSE TRAINING OF ALIEN ERADICATION,04/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/proposals-for-in-house-training-of-alien-eradication/,7333,Mbhashe
Municipal,MBH-7587,Supply and delivery of electrical material,04/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-electrical-material-2/,7587,Mbhashe
Municipal,MBH-7335,SUPPLY AND DELIVERY OF NAME TAGS AND CORPORATE BAGS,04/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-name-tags-and-corperate-bags/,7335,Mbhashe
Municipal,MBH-17471,Funding Call For Tourism Operators—English,04/07/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/funding-call-for-tourism-operators-english/,17471,Mbhashe
Municipal,MBH-17460,Funding Call For Tourism Operators—IsiXhosa,04/07/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/funding-call-for-tourism-operators-isixhosa/,17460,Mbhashe
Municipal,MBH-7151,Advert Vat recovery services for 36 months period and Accounting Support for the AFS preparations,04/07/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/advert-vat-recovery-services-for-36-months-period-and-accounting-support-for-the-afs-preparations/,7151,Mbhashe
Municipal,MBH-10496,"Supply & Delivery of 50ton Low-bed Trailer and , Provision & Deployment of Data Back-up Solution",04/07/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-delivery-of-50ton-low-bed-trailer-and-provision-deployment-of-data-back-up-solution-2/,10496,Mbhashe
